    PID USER     COMMAND         %CPU %MEM     ELAPSED CMD
   3305 andre    xwinwrap         0.0  0.0    06:17:35 xwinwrap -ov -g 1920x1080+0+0 -- mpv -wid WID /home/andre/Downloads/mylivewallpapers-com-Matrix-EDIT.mp4 --no-audio --loop=inf --hwdec=auto --no-stop-screensaver --no-osc --no-osd-bar --quiet
   3306 andre    mpv              2.0  0.6    06:17:35 mpv -wid 0x1e00001 /home/andre/Downloads/mylivewallpapers-com-Matrix-EDIT.mp4 --no-audio --loop=inf --hwdec=auto --no-stop-screensaver --no-osc --no-osd-bar --quiet
   3420 andre    zsh              0.0  0.0    06:17:32 /usr/bin/zsh
   3440 andre    firefox          3.1  2.0    06:17:31 /usr/lib/firefox/firefox
   3444 andre    crashhelper      0.0  0.0    06:17:31 /usr/lib/firefox/crashhelper 3440 9 /tmp/ 10 12
   3547 andre    Socket Process   0.0  0.1    06:17:29 /usr/lib/firefox/firefox -contentproc -parentBuildID 20250707235753 -prefsHandle 0:40612 -prefMapHandle 1:272763 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {7a730705-65c3-4863-8da0-3ab5f1c365b4} -parentPid 3440 -crashReporter 5 -crashHelperPid 3444 -appDir /usr/lib/firefox/browser 1 socket
   3566 andre    Privileged Cont  0.0  0.8    06:17:29 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:40612 -prefMapHandle 1:272763 -jsInitHandle 2:242716 -parentBuildID 20250707235753 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {80009e82-5bdc-40d0-adf0-936ed478d7a3} -parentPid 3440 -crashReporter 6 -crashHelperPid 3444 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 2 tab
   3585 andre    RDD Process      2.6  0.6    06:17:29 /usr/lib/firefox/firefox -contentproc -parentBuildID 20250707235753 -prefsHandle 0:40612 -prefMapHandle 1:272763 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {76c35629-8262-48cc-a606-5a2af8b7955f} -parentPid 3440 -crashReporter 5 -crashHelperPid 3444 -appDir /usr/lib/firefox/browser 3 rdd
   3662 andre    WebExtensions    0.3  0.8    06:17:27 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:49307 -prefMapHandle 1:272763 -jsInitHandle 2:242716 -parentBuildID 20250707235753 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {b7fafc45-4796-4fa7-b0a0-3bdcc772cff4} -parentPid 3440 -crashReporter 6 -crashHelperPid 3444 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 4 tab
   3721 andre    Utility Process  0.2  0.2    06:17:26 /usr/lib/firefox/firefox -contentproc -parentBuildID 20250707235753 -sandboxingKind 0 -prefsHandle 0:49348 -prefMapHandle 1:272763 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {3f56edd1-50c4-427f-a014-68a2b69238ba} -parentPid 3440 -crashReporter 5 -crashHelperPid 3444 -appDir /usr/lib/firefox/browser 5 utility
